no,day,text
1,Sun,"Sunday: Maths and Excel refresher day"
2,Mon,"Monday: Introduction to mathematical models of infectious diseases"
3,Tue,"Tuesday: Simple models: practice and theory"
4,Wed,"Wednesday: Vaccination and heterogeneity"
5,Thu,"Thursday: Estimating R and key parameters"
6,Fri,"Friday: Stochasticity"
7,Sat,""
8,Sun,""
9,Mon,"Monday: Vector-borne diseases"
10,Tue,"Tuesday: Projects: Ebola / Malaria / HIV"
11,Wed,"Wednesday: Projects: Ebola / Malaria / HIV"
12,Thu,"Thursday: Projects / Health economics"
13,Fri,"Friday: Infectious disease modelling and policy planning"
